Name,Allegiances,DeathYear
Brynden Tully,House Tully,-1
Burton Crakehall,Lannister,299
Butterbumps,House Tyrell,-1
Byam Flint,Night's Watch,299
Byan Votyris,None,-1
Byron,Arryn,-1
Cadwyn,House Lannister,-1
Caleotte,House Martell,-1
Catelyn Tully,House Stark,299
Cayn,House Stark,298
Cellador,Night's Watch,-1
Cersei Frey,None,-1
Cersei Lannister,House Lannister,-1
Chataya,None,-1
Chayle,Stark,299
Chella,Lannister,-1
Chett,Night's Watch,299
Chiggen,Lannister,298
Chiswyck,None,299
Clayton Suggs,Baratheon,-1
Clement Piper,Tully,-1
Cleos Frey,None,299
Cley Cerwyn,Stark,299
Clubfoot Karl,Night's Watch,300
Clydas,Night's Watch,-1
Cohollo,None,298
Coldhands,None,-1
Colemon,House Arryn,-1
Colen of Greenpools,House Baratheon,-1
Conn,Lannister,298
Conwy,Night's Watch,-1
Corliss Penny,Baratheon,-1
Cortnay Penrose,Baratheon,299
Cotter Pyke,Night's Watch,-1
Cragorn,House Greyjoy,300
Craster,None,299
Cregan Karstark,Stark,-1
Creighton Longbough,None,-1
Cressen,Baratheon,299
Cuger,Night's Watch,-1
Cutjack,None,-1
Daario Naharis,Targaryen,-1
Dacey Mormont,Stark,299
Daemon Sand,Martell,-1
Daenerys Targaryen,House Targaryen,-1
Dagmer,House Greyjoy,-1
Dagon Codd,Greyjoy,300
Dalbridge,Night's Watch,299
Dale Seaworth,Baratheon,299
Dalla,Wildling,300
Dalla (Dragonstone),Baratheon,-1
Damon Dance-for-Me,None,-1
Damon Vypren,None,-1
Dancy,None,-1
Danwell Frey,None,-1
Dareon,Night's Watch,300
Daryn Hornwood,Stark,298
Daven Lannister,House Lannister,-1
Davos Seaworth,Baratheon,-1
Del,Wildling,299
Delp,House Tully,299
Denys Drumm,Greyjoy,-1
Denys Mallister,Night's Watch,-1
Dermot,Baratheon,-1
Desmond,House Stark,298
Desmond Grell,Tully,-1
Devan Seaworth,Baratheon,-1
Deziel Dalt,Martell,-1
Dhazzar,None,-1
Dick Crabb,None,300
Dick Follard,Night's Watch,299
Dickon Manwoody,Martell,-1
Dirk,Night's Watch,300
Dobber,None,299
Donal Noye,Night's Watch,300
Donella Hornwood,Stark,299
Donnel Drumm,Greyjoy,-1
Donnel Haigh,None,-1
Donnel Hill,Night's Watch,-1
Donnel Locke,Stark,299
Donnel Waynwood,Tully,-1
Donnis,House Stark,-1
Dontos Hollard,None,300
Donyse,None,-1
Doran Martell,Martell,-1
Doreah,House Targaryen,299
Dornish Dilly,Night's Watch,299
Draqaz,None,-1
Drennan,House Greyjoy,299
Drogo,Targaryen,298
Dudley,Stark,299
Dunsen,None,-1
Dunstan Drumm,Greyjoy,-1
Duram Bar Emmon,Baratheon,-1
Dykk Harlaw,Greyjoy,299
Dywen,Night's Watch,-1
Easy,Night's Watch,300
Ebben,Night's Watch,299
Eddard Karstark,Stark,298
Eddard Stark,House Stark,299
Eddison Tollett,Night's Watch,-1
Edmure Tully,House Tully,-1
Edric Dayne,None,-1
Edric Storm,House Baratheon,-1
Edwyn Frey,None,-1
Eggon,None,-1
Elder Brother,None,-1
Eldred Codd,Greyjoy,-1
Eleyna Westerling,Stark,-1
Elinor Tyrell,Tyrell,-1
Ellaria Sand,Martell,-1
Elmar Frey,None,-1
Elwood,House Tully,299
Elyas Willum,Baratheon,-1
Emmon Cuy,Baratheon,299
Emmon Frey,Lannister,-1
Emmond,Greyjoy,-1
Emrick,Night's Watch,-1
Endehar,Greyjoy,-1
Endrew Tarth,Night's Watch,299
Enger,House Tully,-1
Eon Hunter,Arryn,300
Erik Ironmaker,Greyjoy,-1
Ermesande Hayford,None,-1
Eroeh,Targaryen,298
Erreck,None,-1
Erryk (Guard),House Tyrell,-1
Esgred,Greyjoy,-1
Ezzara,Targaryen,-1
Falia Flowers,Greyjoy,-1
Falyse Stokeworth,Lannister,300
Farlen,House Stark,299
Fat Walda Frey,None,-1
Flement Brax,Lannister,-1
Fletcher Will,None,299
Fogo,None,298
Forley Prester,Lannister,-1
Fornio,Night's Watch,-1
Frenken,Lannister,-1
Frenya,Wildling,300
Frynne,Martell,-1
Gage,House Stark,-1
Galazza Galare,None,-1
Galbart Glover,Stark,-1
Gared,Night's Watch,297
Garin (Orphan),Martell,-1
Gariss,House Stark,-1
Garlan Tyrell,House Tyrell,-1
Garrett Paege,Lannister,-1
Garse Goodbrook,None,299
Garth Greyfeather,Night's Watch,300
Garth of Greenaway,Night's Watch,300
Garth of Oldtown,Night's Watch,299
Gawen Westerling,Stark,-1
Gelmarr,House Greyjoy,299
Gendry,None,-1
Genna Lannister,Lannister,-1
Gerald Gower,Baratheon,-1
Gerold Dayne,Martell,-1
Gerren,None,299
Gerris Drinkwater,Martell,-1
Gevin Harlaw,Greyjoy,299
Ghael,None,-1
Ghost of High Heart,None,-1
Gillam,None,-1
Gilly,Wildling,-1
Gilwood Hunter,Arryn,-1
Gladden Wylde,Stark,298
Glendon Hewett,Night's Watch,-1
Goady,Night's Watch,-1
Godric Borrell,None,-1
Godry Farring,Baratheon,-1
Godwyn,House Lannister,-1
Goghor,None,-1
Gormond Goodbrother,Greyjoy,-1
Gorold Goodbrother,Greyjoy,-1
Gran Goodbrother,Greyjoy,-1
Grazdan,None,299
Grazdan mo Eraz,None,-1
Grazdan mo Ullhor,None,299
Grazdan zo Galare,None,-1
Grazdar zo Galare,None,-1
Gregor Clegane,Lannister,300
Grenn,Night's Watch,-1
Grey Worm,Targaryen,-1
Greydon Goodbrother,Greyjoy,-1
Grigg,Wildling,-1
Grisel,None,-1
Groleo,House Targaryen,300
Grubbs,Night's Watch,300
Grunt,None,-1
Gueren,Night's Watch,-1
Guncer Sunglass,Baratheon,299
Guyard Morrigen,Baratheon,299
Gwin Goodbrother,Greyjoy,-1
Gylbert Farwynd,Greyjoy,-1
Gyles Farwynd,Greyjoy,-1
Gyles Grafton,Arryn,-1
Gyles Rosby,Lannister,300
Gynir,House Greyjoy,299
Gysella Goodbrother,Greyjoy,-1
Haggo,None,298
Hairy Hal,Night's Watch,300
Hake,Night's Watch,299
Halder,Night's Watch,-1
Haldon,House Targaryen,-1
Hali,Wildling,298
Hallis Mollen,Stark,-1
Hallyne,Lannister,-1
Halys Hornwood,Stark,298
Hamish the Harper,None,300
Hareth (Mole's Town),Night's Watch,-1
Harghaz,None,300
Harma,Wildling,300
Harmund Sharp,Greyjoy,-1
Harmune,Night's Watch,-1
Harra,None,299
Harrag Sharp,Greyjoy,299
Harras Harlaw,Greyjoy,-1
Harrion Karstark,Stark,-1
Harry Strickland,None,-1
Harwin,Stark,-1
Harwood Fell,House Baratheon,300
Harwood Stout,Stark,-1
Harys Haigh,None,-1
Harys Swyft,Lannister,-1
Hazzea,None,300
Helman Tallhart,Stark,299
Henly (Maester),None,-1
Heward,House Stark,298
High Sparrow,None,-1
Hobb,Night's Watch,-1
Hobber Redwyne,Tyrell,-1
Hod,None,-1
Hodor,House Stark,-1
Holger,None,-1
Holly,Wildling,300
Hop-Robin,Night's Watch,-1
Horas Redwyne,Tyrell,-1
Horton Redfort,Arryn,-1
Hosteen Frey,None,-1
Hoster Tully,House Tully,299
Hot Pie,None,-1
Hother Umber,Stark,-1
Howd Wanderer,Wildling,-1
Hubard Rambton,Baratheon,299
Hugh,House Arryn,298
Hugo Vance,Tully,-1
Hullen,House Stark,298
Humfrey Swyft,Lannister,-1
Husband,None,-1
Hyle Hunt,None,300
Iggo,None,299
Illyrio Mopatis,House Targaryen,-1
Ilyn Payne,Lannister,-1
Imry Florent,Baratheon,299
Iron Emmett,Night's Watch,-1
Irri,House Targaryen,-1
Ithoke,None,-1
Jacelyn Bywater,Lannister,299
Jack Bulwer,Night's Watch,300
Jack-Be-Lucky,None,-1
Jacks,House Stark,-1
Jaggot,None,-1
Jaime Lannister,Lannister,-1
Jalabhar Xho,None,-1
Janna Tyrell,Tyrell,-1
Janos Slynt,None,300
Jaqen H'ghar,None,-1
Jared Frey,None,300
Jaremy Rykker,Night's Watch,298
Jarl,Wildling,299
Jarman Buckwell,Night's Watch,300
Jason Mallister,Stark,-1
Jate,House Lannister,-1
Jate Blackberry,House Baratheon,-1
Jeor Mormont,Night's Watch,299
Jeren,Night's Watch,-1
Jeyne Poole,Stark,-1
Jeyne Westerling,Stark,-1
Jhaqo,None,-1
Jhezane,None,-1
Jhiqui,House Targaryen,-1
Jhogo,House Targaryen,-1
Jocelyn Swyft,Lannister,-1
Jodge,House Lannister,-1
Joffrey Baratheon,House Lannister,300
Jojen Reed,Stark,-1
Jommy,House Baratheon,-1
Jon Bettley,Lannister,-1
Jon Connington,Targaryen,-1
Jon Fossoway,Baratheon,-1
Jon Snow,Night's Watch,-1
Jon Umber (Greatjon),Stark,-1
Jon Umber (Smalljon),Stark,299
Jonelle Cerwyn,Stark,-1
Jonos Bracken,Tully,-1
Jorah Mormont,Targaryen,-1
Jory Cassel,Stark,298
Joseran,Greyjoy,-1
Joseth,House Stark,-1
Josmyn Peckledon,Lannister,-1
Joss,None,-1
Joss Stilwood,Lannister,-1
Josua Willum,Baratheon,-1
Jothos Slynt,Lannister,-1
Joyeuse Erenford,None,-1
Justin Massey,Baratheon,-1
Jyck,House Lannister,298
Jynessa Blackmont,Martell,-1
Karyl Vance,Tully,-1
Kedge Whiteye,Night's Watch,-1
Kella,None,-1
Kenned,House Greyjoy,299
Kennos of Kayce,Lannister,-1
Kerwin,House Tyrell,300
Ketter,Night's Watch,-1
Kevan Lannister,House Lannister,300
Kezmya,None,-1
Khorane Sathmantes,None,-1
Khrazz,None,300
Kindly man,None,-1
Kojja Mo,None,-1
Koss,Night's Watch,299
Kraznys mo Nakloz,None,299
Kromm,House Greyjoy,299
Kurleket,None,298
Kurz,Night's Watch,299
Kyle (Banners),None,299
Kyra,House Stark,300
Lady of the Leaves,None,-1
Lambert Turnberry,Lannister,-1
Lamprey,Baratheon,-1
Lancel Lannister,Lannister,-1
Lanna (Happy Port),None,-1
Lark,Night's Watch,299
Larra Blackmont,Martell,-1
Larraq,Targaryen,-1
Leathers,Night's Watch,-1
Left Hand Lew,Night's Watch,-1
Lem,None,-1
Lennocks,None,-1
Lenwood Tawney,Greyjoy,-1
Leo Lefford,Lannister,299
Leo Tyrell,Tyrell,-1
Leobald Tallhart,Stark,299
Leona Woolfield,Stark,-1
Leonette Fossoway,Tyrell,-1
Lew,House Stark,-1
Lewis Lanster,None,-1
Lewys Lydden,Lannister,-1
Lewys Piper,Lannister,-1
Lharys,Stark,298
Little Walder Frey,None,300
Lollys Stokeworth,Lannister,-1
Lommy,Night's Watch,299
Loras Tyrell,Tyrell,-1
Lorcas,None,-1
Lord of Bones,Wildling,300
Lorent Caswell,Baratheon,-1
Lorren,Greyjoy,299
Lothar Frey,None,-1
Lothor Brune,None,-1
Lucan,None,299
Lucas Blackwood,Tully,299
Lucas Codd,Greyjoy,-1
Lucias Vypren,None,-1
Luco Prestayn,None,-1
Luke of Longtown,Night's Watch,-1
Luton,None,300
Luwin,House Stark,299
Lyle Crakehall,Lannister,-1
Lyman Darry,Tully,299
Lymond Goodbrook,Tully,-1
Lymond Lychester,Tully,-1
Lyn Corbray,Arryn,-1
Lyonel,None,-1
Lysa Tully,House Arryn,300
Lysono Maar,None,-1
Mace Tyrell,House Tyrell,-1
Mad Huntsman,None,-1
Maege Mormont,Stark,-1
Maerie (Goodwife),None,299
Maerie (Whore),None,299
Mag Mar Tun Doh Weg,Wildling,300
Mago,None,-1
Mallador Locke,Night's Watch,299
Malliard,Lannister,-1
Mallor,House Lannister,-1
Mance Rayder,Wildling,-1
Mandon Moore,Baratheon,299
Marei,None,-1
Margaery Tyrell,House Tyrell,-1
Maric Seaworth,House Baratheon,299
Marillion,Arryn,300
Maris,Wildling,-1
Marissa Frey,None,-1
Mariya Darry,None,-1
Mark Mullendore,Tully,-1
Marlon Manderly,Stark,-1
Maron Volmark,Greyjoy,-1
Marq Piper,Tully,-1
Martyn Rivers,None,-1
Marwyn,None,-1
Marwyn Belmore,Arryn,-1
Masha Heddle,Tully,298
Maslyn,Night's Watch,299
Mathis Rowan,Lannister,-1
Mathos Mallarawan,None,-1
Matrice,Baratheon,-1
Matthar,Night's Watch,-1
Matthos Seaworth,Baratheon,299
Mawney,Night's Watch,300
Mebble,None,-1
Medger Cerwyn,Stark,299
Meera Reed,Stark,-1
Megga Tyrell,House Tyrell,-1
Meha,Wildling,-1
Mela,House Arryn,-1
Meldred Merlyn,Greyjoy,-1
Meliana,Stark,-1
Melisandre,Baratheon,-1
Mellei,House Martell,-1
Melly,None,-1
Meredyth Crane,Tyrell,-1
Meribald,None,-1
Merlon Crakehall,Lannister,-1
Mero,None,299
Merrett Frey,None,300
Meryn Trant,Lannister,-1
Mezzara,None,-1
Mikken,House Stark,299
Miklaz,None,-1
Mirri Maz Duur,None,299
Missandei,House Targaryen,-1
Mohor,None,298
Mollander,None,-1
Monford Velaryon,Baratheon,299
Monster,Wildling,-1
Moon Boy,Baratheon,-1
Moqorro,Greyjoy,-1
Mord,House Arryn,-1
Mordane,House Stark,298
Moreo Tumitis,None,-1
Morgarth,None,-1
Morna White Mask,Wildling,-1
Moro,None,-1
Morra,House Martell,-1
Morrec,House Lannister,298
Morros Slynt,Lannister,-1
Mors Manwoody,Martell,-1
Mors Umber,Stark,-1
Morton Waynwood,Arryn,-1
Mossador,House Targaryen,300
Mudge (miller),None,299
Mully,Night's Watch,-1
Munciter,Lannister,-1
Murch,Night's Watch,-1
Murch (Winterfell),House Stark,-1
Murenmure,Greyjoy,-1
Muttering Bill,Night's Watch,300
Mya Stone,Arryn,-1
Mycah,Stark,298
Myles,House Martell,-1
Myles,House Tully,299
Myles Manwoody,Martell,-1
Myranda Royce,Arryn,-1
Myrcella Baratheon,Lannister,-1
Myria Jordayne,Martell,-1
Myrtle,Wildling,300
Nage,None,-1
Nan,House Stark,-1
Narbert,None,-1
Nestor Royce,Arryn,-1
Nolla,None,299
Norjen,Greyjoy,-1
Notch,None,-1
Nurse,None,300
Nute,House Greyjoy,-1
Nymella Toland,Martell,-1
Nymeria Sand,House Martell,-1
Obara Sand,House Martell,-1
Oberyn Martell,House Martell,300
Ogo,None,298
Old Henly,Night's Watch,299
Olenna Redwyne,Tyrell,-1
Ollo Lophand,Night's Watch,300
Olyvar Frey,None,-1
Ondrew Locke,Stark,-1
Oppo,None,300
Orell,Wildling,299
Orphan Oss,Night's Watch,300
Orton Merryweather,Lannister,-1
Osfryd Kettleblack,Lannister,-1
Osha,House Stark,-1
Osmund Kettleblack,Lannister,-1
Osney Kettleblack,Lannister,-1
Ossy,Arryn,-1
Oswell Kettleblack,None,-1
Othell Yarwyck,Night's Watch,-1
Ottyn Wythers,Night's Watch,299
Owen,Night's Watch,-1
Owen Norrey,Tully,299
Oznak zo Pahl,None,299
Palla,House Stark,-1
Parmen Crane,Baratheon,-1
Patchface,Baratheon,-1
Pate (Lancewood),None,299
Pate (Night's Watch),Night's Watch,-1
Pate (novice),None,300
Pate (Old),None,-1
Patrek Mallister,Tully,-1
Patrek of King's Mountain,Baratheon,300
Paxter Redwyne,Tyrell,-1
Pello,None,-1
Penny,None,-1
Perros Blackmont,Martell,-1
Perwyn Frey,None,-1
Petyr Baelish,None,-1
Petyr Frey,None,300
Philip Foote,Lannister,-1
Pia,None,-1
Podrick Payne,Lannister,-1
Polliver,None,300
Pono,None,-1
Porridge,Baratheon,-1
Porther,House Stark,299
Poul Pemford,House Tully,299
Poxy Tym,House Stark,299
Praed,None,299
Prendahl na Ghezn,None,299
Preston Greenfield,Baratheon,299
Pyat Pree,None,-1
Pycelle,House Lannister,300
Pyg,None,300
Pylos,Baratheon,-1
Pypar,Night's Watch,-1
Qarl Shepherd,Greyjoy,-1
Qarl the Maid,Greyjoy,-1
Qezza,None,-1
Qhorin Halfhand,Night's Watch,299
Qotho,None,298
Quaithe,None,-1
Quaro,Targaryen,298
Quellon Humble,Greyjoy,-1
Quent,House Stark,-1
Quenten Banefort,Lannister,-1
Quentyn Martell,Martell,300
Quhuru Mo,None,-1
Quort,Wildling,299
Qyburn,Lannister,-1
Qyle,Night's Watch,299
Rafford,None,-1
Ragnor Pyke,House Greyjoy,-1
Ragwyle,Wildling,-1
Rakharo,House Targaryen,-1
Ralf Kenning,Greyjoy,300
Ralf Stonehouse,Greyjoy,-1
Ralf the Limper,Greyjoy,-1
Ramsay Snow,None,-1
Randa,None,299
Randyll Tarly,Tyrell,-1
Rast,Night's Watch,299
Ravella Swann,Tully,-1
Raymar Royce,Arryn,-1
Raymun Darry,Targaryen,298
Raymund Frey,None,-1
Raynald Westerling,Stark,299
Red Alyn,Night's Watch,300
Red Rolfe,House Greyjoy,299
Reek,None,299
Renly Baratheon,House Baratheon,299
Reysen,Night's Watch,-1
Reznak mo Reznak,None,-1
Rhaegar Frey,None,300
Rhogoro,None,-1
Ricasso,House Martell,-1
Richard Horpe,Baratheon,-1
Rickard Karstark,Stark,299
Rickard Ryswell,Stark,-1
Rickon Stark,House Stark,-1
Rigney,None,-1
Robar Royce,Baratheon,299
Robb Stark,House Stark,299
Robert Arryn,House Arryn,-1
Robert Baratheon,House Baratheon,298
Robett Glover,Stark,-1
Robin Flint,Stark,299
Robin Moreland,Lannister,-1
Robin Ryger,Tully,-1
Rodrik Cassel,Stark,299
Rodrik Harlaw,Greyjoy,-1
Rodrik Ryswell,None,-1
Roger Hogg,Lannister,-1
Roger Ryswell,Stark,-1
Roland Crakehall (Lord),Lannister,-1
Rolder,House Lannister,-1
Rolfe,Greyjoy,-1
Rolfe the Dwarf,House Greyjoy,300
Rollam Westerling,Stark,-1
Rolley,Night's Watch,299
Rolly Duckfield,Targaryen,-1
Rolph Spicer,Lannister,-1
Romny Weaver,Greyjoy,-1
Ronald Storm,None,-1
Ronnel Harclay,Night's Watch,-1
Ronnet Connington,Baratheon,-1
Roose Bolton,Stark,-1
Roose Ryswell,None,-1
Rorge,None,300
Roslin Frey,None,-1
Rowan,Wildling,300
Rudge,Night's Watch,-1
Rupert Brax,House Lannister,299
Rusty Flowers,Night's Watch,-1
Ryger Rivers,None,-1
Ryk,Wildling,-1
Ryman Frey,None,300
Rymolf Stormdrunk,House Greyjoy,-1
Ryon Allyrion,Martell,-1
Salladhor Saan,Baratheon,-1
Sallor,None,299
Samwell Tarly,Night's Watch,-1
Sandor Clegane,None,300
Sansa Stark,Stark,-1
Sarella Sand,House Martell,-1
Sarra Frey,None,-1
Satin,Night's Watch,-1
Sawane Botley,Greyjoy,299
Sawwood,Night's Watch,-1
Sedgekins,None,-1
Selyse Florent,Baratheon,-1
Senelle,House Lannister,300
Serra Frey,None,-1
Shadrich,None,-1
Shae,Lannister,300
Shagga,Lannister,-1
Shagwell,None,300
Sharna,None,-1
Shireen Baratheon,Baratheon,-1
Shirei Frey,None,-1
Shyra Errol,Baratheon,300
Sigfry Stonetree,Greyjoy,-1
Skahaz mo Kandaq,None,-1
Skinner,None,-1
Small Paul,Night's Watch,299
Softfoot,Night's Watch,299
Sour Alyn,None,-1
Spare Boot,Night's Watch,-1
Spotted Cat,None,-1
Spotted Pate of Maidenpool,Night's Watch,299
Squint,House Greyjoy,299
Squirrel,Wildling,300
Stalwart Shield,Targaryen,300
Steelskin,None,-1
Steffon Swyft,Lannister,-1
Stevron Frey,Stark,299
Stiv,Wildling,298
Stone Thumbs,Wildling,299
Stonesnake,Night's Watch,-1
Stygg,House Greyjoy,-1
Styr,Wildling,300
Sybassion,None,-1
Sybell Spicer,Lannister,-1
Sybelle Glover,Stark,-1
Sylva Santagar,Martell,-1
Symon Silver Tongue,Lannister,299
Symon Stripeback,Targaryen,-1
Symond Frey,None,300
Symond Templeton,Arryn,-1
Syrio Forel,House Stark,298
Taena of Myr,Lannister,-1
Tal Toraq,Targaryen,-1
Talbert Serry,Tyrell,300
Tallad,Lannister,-1
Tanda Stokeworth,Lannister,300
Tanton Fossoway,Baratheon,-1
Ternesio Terys,None,-1
Terrance Lynderly,Arryn,-1
The Red Lamb,House Targaryen,-1
Theo Frey,None,-1
Theodan Wells,Stark,-1
Theomore Lannister,None,-1
Theon Greyjoy,House Greyjoy,-1
Thistle,Wildling,300
Thoren Smallwood,Night's Watch,299
Thoros,None,-1
Three Toes,None,-1
Three-Tooth,Greyjoy,-1
Tickler,Lannister,300
Tim Tangletongue,Night's Watch,-1
Timeon,None,300
Timett,Lannister,-1
Timon,Baratheon,-1
Tion Frey,Lannister,299
Tobho Mott,None,-1
Todder,Night's Watch,-1
Todric,Greyjoy,299
Tom of Sevenstreams,None,-1
Tomard,House Stark,298
Tormund,Wildling,-1
Torrek,None,-1
Torrhen Karstark,Stark,298
Torwynd the Tame,Wildling,300
Tothmure,Lannister,299
Tregar,House Lannister,298
Tremond Gargalen,Martell,-1
Tristifer Botley,Greyjoy,-1
Triston Sunderland,Lannister,-1
Tuffleberry,None,-1
Tumberjon,Night's Watch,-1
Tumco Lho,Targaryen,-1
Tybero Istarion,None,-1
Tycho Nestoris,None,-1
Tyene Sand,House Martell,-1
Tymor,House Greyjoy,299
Tyrek Lannister,House Lannister,299
Tyrion Lannister,Lannister,-1
Tyta Frey,None,-1
Tytos Blackwood,Tully,-1
Tytos Brax,Lannister,-1
Tytos Frey,None,299
Tywin Lannister,House Lannister,300
Ulf son of Umar,Lannister,298
Ulf the Ill,House Greyjoy,299
Ulmer,Night's Watch,-1
Ulwyck Uller,Martell,-1
Umar,None,-1
Umfred,None,-1
Unella,None,-1
Urreg,Night's Watch,299
Urswyck,None,-1
Utherydes Wayn,Tully,-1
Utt,None,299
Val,Wildling,-1
Varamyr,Wildling,300
Vardis Egen,Arryn,298
Vargo Hoat,None,300
Varys,Targaryen,-1
Vayon Poole,Stark,298
Victarion Greyjoy,House Greyjoy,-1
Viserys Targaryen,House Targaryen,298
Vylarr,House Lannister,-1
Vyman,Tully,-1
Waif,None,-1
Walda Rivers (daughter of Aemon),None,-1
Walder Frey,None,-1
Walder Rivers,None,-1
Wallen,Wildling,298
Walton,None,-1
Wat (orphan),None,-1
Wat (sailor),None,-1
Watt,Night's Watch,299
Watty,None,-1
Waymar Royce,Night's Watch,297
Wayn (guard),House Stark,-1
Weasel,None,-1
Weeper,Wildling,-1
Weese,Lannister,299
Wendel Manderly,Stark,299
Wendello Qar Deeth,None,-1
Werlag,House Greyjoy,299
Wex Pyke,Stark,-1
Whalen Frey,None,-1
Wilbert,Stark,298
Will,Night's Watch,297
Will (orphan),None,-1
Willam Wells,Martell,300
Willem Lannister,House Lannister,299
William Mooton,Tully,-1
Willis Wode,Arryn,-1
Willit,Lannister,-1
Willow Witch-eye,Wildling,300
Willum,Tully,-1
Woth,Night's Watch,299
Wulfe,House Greyjoy,-1
Wun Weg Wun Dar Wun,Wildling,-1
Wyl (guard),House Stark,298
Wyl the Whittler,None,299
Wylis Manderly,Stark,-1
Wylla Manderly,Stark,-1
Wyman Manderly,Stark,-1
Wynafryd Manderly,Stark,-1
Wynton Stout,Night's Watch,-1
Xaro Xhoan Daxos,None,-1
Xhondo,None,-1
Yandry,House Targaryen,-1
Yellow Dick,None,300
Yezzan Zo Qaggaz,None,300
Ygon Farwynd,Greyjoy,-1
Ygritte,Wildling,299
Yohn Farwynd,Greyjoy,-1
Yohn Royce,Arryn,-1
Yoren,Night's Watch,299
Young Henly,Night's Watch,299
Ysilla,House Targaryen,-1
Yurkhaz zo Yunzak,None,300
Zei,Stark,-1
Zollo,None,-1
